No.,Timestamp,Berat
629,06:44:24:694,83.74
630,06:44:24:896,83.84
631,06:44:25:084,84.14
632,06:44:25:271,84.24
633,06:44:25:474,84.34
634,06:44:25:661,84.54
635,06:44:25:848,84.84
636,06:44:26:051,84.84
637,06:44:26:238,84.94
638,06:44:26:425,85.14
639,06:44:26:628,85.34
640,06:44:26:815,85.34
641,06:44:27:002,85.54
642,06:44:27:190,85.74
643,06:44:27:392,85.74
644,06:44:27:580,85.84
645,06:44:27:767,85.94
646,06:44:27:970,85.94
647,06:44:28:157,86.04
648,06:44:28:344,85.94
649,06:44:28:547,86.14
650,06:44:28:734,86.34
651,06:44:28:921,86.24
652,06:44:29:124,86.44
653,06:44:29:311,86.44
654,06:44:29:498,86.64
655,06:44:29:701,86.74
656,06:44:29:888,86.84
657,06:44:30:091,86.84
658,06:44:30:278,86.94
659,06:44:30:466,87.04
660,06:44:30:668,87.24
661,06:44:30:856,87.34
662,06:44:31:043,87.44
663,06:44:31:230,87.54
664,06:44:31:433,87.64
665,06:44:31:620,87.64
666,06:44:31:807,87.84
667,06:44:32:010,88.04
668,06:44:32:197,88.34
669,06:44:32:369,88.24
670,06:44:32:556,88.44
671,06:44:32:728,88.64
672,06:44:32:915,88.64
673,06:44:33:102,88.74
674,06:44:33:305,88.94
675,06:44:33:492,88.84
676,06:44:33:679,89.04
677,06:44:33:882,89.14
678,06:44:34:069,89.14
679,06:44:34:256,89.24
680,06:44:34:459,89.34
681,06:44:34:646,89.34
682,06:44:34:834,89.44
683,06:44:35:036,89.64
684,06:44:35:224,89.74
685,06:44:35:411,89.64
686,06:44:35:614,89.64
687,06:44:35:801,89.74
688,06:44:35:988,89.94
689,06:44:36:191,90.04
690,06:44:36:378,89.94
691,06:44:36:581,89.94
692,06:44:36:768,90.14
693,06:44:36:940,90.24
694,06:44:37:127,90.34
695,06:44:37:330,90.34
696,06:44:37:517,90.44
697,06:44:37:704,90.54
698,06:44:37:907,90.64
699,06:44:38:094,90.84
700,06:44:38:281,91.14
701,06:44:38:468,91.24
702,06:44:38:671,91.24
703,06:44:38:858,91.24
704,06:44:39:046,91.24
705,06:44:39:248,91.34
706,06:44:39:436,91.34
707,06:44:39:623,91.54
708,06:44:39:810,91.54
709,06:44:39:997,91.44
710,06:44:40:200,91.54
711,06:44:40:387,91.64
712,06:44:40:574,91.64
713,06:44:40:762,91.54
714,06:44:40:964,91.54
715,06:44:41:152,91.44
716,06:44:41:339,91.64
717,06:44:41:542,91.74
718,06:44:41:729,91.74
719,06:44:41:916,91.64
720,06:44:42:119,91.84
721,06:44:42:306,91.94
722,06:44:42:493,91.94
723,06:44:42:696,92.04
724,06:44:42:883,91.94
725,06:44:43:070,91.94
726,06:44:43:273,91.84
727,06:44:43:445,91.94
728,06:44:43:616,92.04
729,06:44:43:804,92.24
730,06:44:44:006,92.34
731,06:44:44:194,92.24
732,06:44:44:381,92.34
733,06:44:44:584,92.54
734,06:44:44:771,92.54
735,06:44:44:958,92.64
736,06:44:45:161,92.74
737,06:44:45:348,92.94
